Case NumberClient FeedbackResolution CommentsAnalysis CommentsCATEGORIES_8_57
04/13/2017-3438047Branch/Department Interaction Challenges || Client has been working with the mortgage department since Jan 2017. Cliet is very unhappy about how this process went and is claiming that the delays experienced by the mortgage department caused them to lose their house.\NLO: Sherry Frank  PROC: Letitia Billie  UW: Wanda Knuth  CLOSER: Jaleesa Coleman    TIMELINE:    1/24/17- original contract date  2/15/17- App Date  2/22/17- Proc made welcome call   2/28/17 - **original closing date per purchase contract**  2/28/17- Client gave permission for us to speak with his girlfriend and to also use her ph # and leave messages on this number   2/28/17- UW approved with conditions   3/1/17- Appraisal recv'd and accepted   3/8/17- recv'd addendum to contract; clients got married  3/10/17-3/21/17- processor collecting outstanding conditions   3/21/17- proc sent file to UW for CTC  3/26/17- UW reviewed file; client short cash needed to close as well as other conditions  3/28/17- addendum to contract; extending closing date to 4/10/17  3/29/17- UW reviewed file again; client does not have assets needed to close   4/4/17- UW states we need more documentation on back-owed child support from client as well as other conditions   4/5/17- Outstanding conditions: no funds available from client to bring to closing at this time; attempting to get gift   4/10/17- Client sends email stating he recv'd a signed cancellation contract; sellers refused to extend contract   4/10/17- Contract was cancelled per the seller's, they refused to extend contract   4/11/17- UW denied loan; seller's cancelled contract   _______________________________________________  SME RESEARCH ACTIONS:    4/13/17- uvkc77- sent email to LOB to get more information    4/13/17- uvkc77- closed contact milestone; left msg; made 24 hr call    4/13/17- uvkc77- spoke with John Stagliano; he stated clients did not have enough assets so they tried to sell things; etc. (FHA Loan)  but it would require more documentation. He states the clients were threatening to the processor because she wouldn't send for final but we could not because assets weren't there. At the beginning, clients stated they were getting gift from mother but she ended up backing out.  John said we did everything we could to try to save the loan but client did not have assets and at the end the seller's would not extend.    4/18/17- uvkc77- Spoke with branch mgr, James Harville who stated client called his office wanting copy of the file - i advised i've reached out to the client but hadn't heard anything back but was working on it now. Then James stated the # he had for them was 204-993-4726. It looks like when he submitted the complaint he submtited the ph # incorrectly.     4/18/17- 11:08am - uvkc77- called the new #, 204-993-4726 but just got a recording stating i was un-authorized to call this #, reached back out to processor to get more info or any other possible #s     4/18/17- uvkc77- emailed client at the email the processor stated they also used to communicate: theunited_1@hotmail.com    4/18/17- uvkc77- spoke with the client; apologized for their experience; they wanted me to email/fax his income/asset docs as they are working with another lender and wanted the FHA case #. I have emailed these documents to him and advised we are unable to send the FHA case # to him but his lender could request it or if he provided more detailed info we can send the case # directly to the new lender. No more calls needed at this time. I've advised client i'm unable to fax at this time but he should be able to send the documents directly to his loan officer via email    4/27/17- uvkc77- closed contact milestone; no additional calls needed; client has been made aware of the resolution   ______________________________________________  NOTES    4/13/17 - FROM LO, Sherry Frank: " I had been working with the client since 1/30 (the first loan was denied and he asked that we repull credit and do a new application within the same week of the denial).  He was given instructions at origination & again 2 weeks post origination that he would need to pay off a Capital One auto loan to lower his debt ratio.  He stated that he would be receiving funds from the sale of another REO on 2/28 and would utilize those funds to pay off that debt; however, he instead moved from WV to Florida & proceeded to spend the funds he obtained from the sale of his property until those funds had dissipated.  He no longer had funds to close so he sold the vehicle to pay off the loan and then made numerous attempts to obtain gifted funds from family members who refused to assist.  He finally obtained a gift from a personal friend/church member on 4/10 and the contract expired on that day.  The seller refused to extend the contract, as they had already extended twice before.  I received a phone call from the selling realtor on Monday, 4/10, and she stated that the buyer/our client kept making numerous calls to the seller in spite of being asked to stop calling.  She also said the seller would have been willing to extend the contract if the buyer would not make further contact with her and would pay her April mortgage payment on a new property she had purchased.  He refused to comply with either request.  He was informed by the realtor that the seller would be canceling his contract and he continued to send text messages to me late that evening refusing to acknowledge that the contract was being canceled & blaming his realtor if he did end up #losing his dream home#.  He had already signed a contract cancelation document at that point and had been given his EMD.    This was an extremely difficult client throughout the entire loan process and he even accused me of lying about his credit score at one point because he had his own report through Credit Karma. Please let me know if you need any additional information."    4/13/17- FROM LO MGR, JoDee Lambert:   "Unfortunately we cannot force a seller to extend a contract and we cannot force an approval when a borrower does not have acceptable verification of funds to close.  The uw has very clear and detailed notes in Empower about her concerns w/ cash deposits and being unable to properly source those as acceptable funds to close.  Additionally there were inconsistencies in the documentation that raised red flags it appears from uw comments."    4/13/17 - FROM LO, Sherry Frank: "One last note on this file.  The borrower did not have a phone of his own, so we were given his then fiancé#s cell phone number as a means of contact.  After the origination of the 2nd loan file, the borrower & his fiancé had a domestic dispute and she informed me that she would be backing out of the purchase contract and that there would be no way to reach him, as he relied on her phone for contact.  Several days lapsed and they resolved their differences and were back together; however, we were not able to communicate with the borrower during that time period.   "57
04/13/2017-3438154Teammate Interaction Challenges;Branch/Department Interaction Challenges || Client is upset because she requested to open a CD account last 04/12/16 with 12 months term but the branch teammate opened a savings account. She is upset because she only earned $1.47.Clarified Policy, Process, Product, Service;Communicated Decisions / Option(s) || Advised client to go back to the branch so they can do something to correct the situation.  ******************************  No folder in R Drive04/26/17 - No ack needed-Resolved @ POC  jr    appears cd and saving both opened at same time.  Reviewed CLP and branch closed savings moved funds to a MMA account and provided client a 25.00 interest bonus credit- jr8
04/13/2017-3438254Client has been tossed around trying to get some one to fix his situation. Client spoke with teammate back on 3/29/17 to get a payoff and he offered him a specific rate as a pre qualification for a new loan. Client was told to go to dealer and tell them to submit loan app. with Suntrust. Client vehicle was delivered and was given an interest rate of %9. Client wants rate quoted by teammate of 4% to  6%. Client feels he was lied to. Client was then told to refi. with lightstream and he was denied. Client works in banking and will let people know.Apologized to client for the miscommunication. Informed client that we can quote a range of Interest rates offered by the bank, however we need to take a credit application and underwriting will process that application and offer the best rate. Clients new loan has not been uploaded in CLP. Provided client with options.  ***Prior comments from originating case***:  **********************************************************    No folder on R:4/25- CE only, no ack or follow up required, resolved at POC.-HL    - reviewed the call in question. Korey told the client that the rate was based on his credit and not a guarantee. Korey sent the client an application to client's email.57
04/13/2017-3438381Default / Negative Impacts || client was working with mortgage processor and all contact has stopped. client has been waiting for a week to get an answer. client was working with Yrneh Huff and manager Valerie Mae.   Client has no idea the status of his application and was told that it was not approved by another mortgage consultant. Client wants to know what is happening and if it is not approved for DTI then why was he told to pay for an appraisal and repairs to the property.    Unresolved - Complaint Escalation Needed || Client needs a response ASAP to 678.934.1984. Client wants to know status, when is closing, if denied why was he told to spend money on something that doesn't help him in any way since DTI can be calculated first\NLoan Officer: Lawrence Taylor  Processor: Yrneh Huff  Underwriter: Amy Carroll    Application date: 2/14/2017  Denial date: 4/11/2017      4/13/2017 UVAR94 - 24 HR call made explained escalation process and gave contact information, advised client I would be in touch once I have researched feedback, client thankful for call    4/14/2017 UVAR94 - called Brian Serra (Personal Banker) he submitted the complaint to confirm that the client specifically stated Reg Z or Truth in Lending, he confirmed that the client referenced Truth in Lending    email sent to Valerie Mai (Manager) and Patricia Reilly (Mortgage Underwriting Manager) advising of complaint and requesting feedback    spoke with the Loan Officer Lawrence Taylor, he advised that he contacted the client to advise him why he was denied and the client was not satisfied with the response (email in R drive)    4/17/2017 UVAR94 - spoke with client, he advised that his main concern is that we moved to appraisal knowing that his income was tip based, he would like at the least his appraisal fee refunded although he did make repairs as well. Client also stated that the reason for the cash out refinance was to pay off the bills that we are using against his debt to income ratio, advised client that I was working with sales and underwriting to determine if loan should have moved past application, advised client I would be in touch with him tomorrow    emailed Carolyn Risco to pull initial application call, 2/14/2017 to Lawrence Taylor    4/18/2017 UVAR94 - spoke with client and advised him that sales manager is out today however I have listened to some of the calls and apologize for the professionalism of the Loan Officer, I advised the client that I would be back in touch tomorrow once I have confirmation of either getting the loan re-structured or refunding his appraisal fee    listened to call 2/14/17 12:05 PM - initial application call, Loan Officer was not very professional but call went OK, other calls OK, denial call unprofessional     4/19/2017 UVAR94 - email sent to Patricia Reilly, Valerie Mai, Matthew Pickering advising them to look at loan again to be sure we have covered all options    spoke with Matt, he stated that this is not the Loan Officers first incident, he stated that he would get with Pat to see if there is anything that can be done and if not would be back with me to discuss refunding the appraisal fee    received email chain from Valerie Mai showing 4 attempts from the processor and then her to have the Loan Officer contact the client 4/4/17, 4/5/17, 4/7/17 and again 4/12/17  listened to call from Loan Officer when he finally called client on 4/12/17, he read the Underwriters statement verbatim and did not answer clients questions, very unprofessional call, sent to Matt Pickering to review (email in R drive)    spoke with client - advised that I am still working with management and underwriting to review the loan for possible restructure. Advised the client that if we are unable to proceed with the loan we will be refunding his appraisal fee, client very thankful for the follow up    Per Jennifer Bassham, sent file to Deborah Sampson and Morena Phillips to review for Fair Banking    4/20/2017 UVAR94 - received information back from Patricia Reilly stating that the second review determined that the debt to income was within guidelines however, the residual income (the amount of income that an individual has after all personal debts and expenses, including a mortgage, have been paid.) was insufficient to meet VA guidelines.  She stated that she would get approval from Bill Moulton and submit this file to the VA to request an exception due to the consistent cash deposits in the clients bank account representing his tip income. The VA time frame to grant exception is approximately 6-8 weeks and although we have submitted the case, we make no guarantees that they will approve an exception.     Matthew Pickering advised that he submitted a request to refund the appraisal fee for client delight    4/20/2017 UVAR94 - spoke with the client and advised him that - we are not able to approve the loan on our level because the second review determined that the debt to income was within guidelines however, the residual income (the amount of income that an individual has after all personal debts and expenses, including a mortgage, have been paid.) was insufficient to meet VA guidelines.  The Sales Manager, Matthew Pickering submitted a request for the appraisal fee to be refunded for client delight purposes (Loan Officer behavior) the client was very thankful for the resolution    4/21/2017 UVAR94 - received a call from Patricia Reilly, she stated that she attempted to get approval from Bill Moulton to submit to VA for exception but he stated that it may be harmful to the client due to him depositing significant amounts of cash but not reporting it, she will make a phone call to the VA to confirm    4/24/2017 UVAR94 - received final email from Valerie Mai advising that the VA will not make an exception - email in R drive57
04/13/2017-3438533Challenging Resolution Process || per client:  have applied for a loan and haven't hear anything more. I have been a loyal customer for almost 5 years. I have applied in the past and due to credit have been denied. I understand everything goes through credit now but do you not look at the open accounts I have when pulling my credit and see my payments have never been late. Does that not help anything? I'm just wanting to consildate all my high interest loans to one payment to help save me money and my credit would excellent completely. I've honestly thought of changing banks to a credit union because I've heard they give people chances and look at the accounts and payment history. Mine and my husband pay checks are direct deposited and the loan could be auto draft. Just tell me what more I need to do to have the help from my bank.Performed Other Servicing / Maintenance || cont. I've worked so hard just bought a home and the mortgage department at this bank denied me. I feel I am getting no where banking with SunTrust and I don't want to feel that way. I want a bank who will help me and realize o stand by my word. I'm sorry to put all this I just need to vent. I feel I'm not going anywhere though banking here and I feel I'm never going ng to get anywhere at this bank. what more can I do as memeber. Check my account always in good standings. I'm at a lost. I want to grow in my bank not be just another card holder      offered  other consolidating options.**************    No folder on R:4/26- CE only, no ack or follow up required, resolved at POC.-HL57
04/13/2017-3438633Branch/Department Interaction Challenges;Lack of Follow Up or Status Updates || Client has been working with Mortgage rep Kelly Lutz and client stating that Kelly is not returning his calls.  client was in the insurance business and returned calls to his clients back.  client stating it has been several days since he has called her without a reponse.  Branch manager Jay Brown has left message for Kelly to call client and client has not received a response.    Unresolved - Complaint Escalation Needed || client needs to hear from his mortgage rep Kelly Lutz as she has not returned his calls\NLoan Officer: Kelley Lutz  Processor: Alex Fedoruk  Underwriter: Teressa Keeton    Application date: 3/21/2017      4/13/2017 UVAR94 - 24 HR call made, left message with all contact information    4/14/2017 UVAR94 - email sent to Ty Smith (Sales Manager) and Julie Chappell (Area Manager) to advise that the client stated that he has attempted to contact his Loan Officer, Kelley Lutz several times unsuccessfully. The Branch manager, Jeffrey brown also advised that he has left messages for Kelley with no response. The client would like an update on his file, please advise. - waiting on response.    Ty Smith provided detailed email with contact information and stated that the client had spoke to the Loan Officer today, email in R drive    Spoke with client - he advised that he has spoken with the Loan Officer and she has communicated well with him, client stated that he was frustrated because the appraisal value came back lower than he expected and it took his rate from 4.1 to 4.3, client stated that he understood why the appraisal came back lower because of the housing crisis and home values decreasing but stated that this has nothing to do with the Loan Officer and he did not wish to file a complaint because she has been wonderful gave client all of my contact information and advised him that I would be closing out the case, client thankful for call57
04/13/2017-3438771Documentation Challenges || Client is upset about her loan being denied based on how income has been calculated on a part time job.  As well as attempting to use a third job and having 1099 income added to her tax returns.  The client believes we should be able to make an exception to complete the spousal buy out that we were attempting to originate as she has been a long time SunTrust client and been paying the mortgage on her own.    Unresolved - Complaint Escalation Needed || Client is upset about her loan being denied based on how income has been calculated on a part time job.  As well as attempting to use a third job and having 1099 income added to her tax returns.  The client believes we should be able to make an exception to complete the spousal buy out that we were attempting to originate as she has been a long time SunTrust client and been paying the mortgage on her own.\NLO: Bryan Sutton  PROC: Shannon Reid  UW: Harold Davis / 2nd UW: Norman Brooks  CLOSER: Hunter Crosby    TIMELINE:  3/14/17- App Date  4/5/17- Proc made welcome call   4/10/17- Proc sent file to UW  4/11/17- Loan denied     ______________________________________________________________  SME RESEARCH ACTIONS:     4/13/17- uvkc77- closed contact milestone; spoke with client; made 24 hr ack. call (client stated: Bryan first said she didn't have enough income for the loan but client mentioned she had a 3rd job; he stated it might be okay if she had documentation/ She also stated the appraisal came in higher by 20k which worked in her favor; then yesterday someone told her it was denied due to DTI being over the guideline max. Client said she didn't understand this because during the process; no one ever told her that or made a hint that it wouldn't work. - She says her job is seasonal (banquet job at holiday inn) and because the UW asked for the last 2 pay stubs and those were slower winter months they were less than usual but if they reviewed the last 5 years she makes the same amount on a yearly basis. she also said her grandma paid off a credit card and her ex-husband had a kohl's card that she was auth on but she's called and got her self removed and has proof. client wants to know if we can help her; or if not provide a refund so she can go elsewhere.    4/14/17- uvkc77 - Carolyn & I spoke with Bryan Sutton on phone to gather more info; I will reach out to UW and UW mgmt and possibly go to Suellen depending on what we find out about the holiday inn income     4/14/17- uvkc77- sent email to UW and UW mgr    4/14/17- 11:30am - uvkc77- called client (returned her call from this morning) left msg    4/14/17 - 4:25pm  - uvkc77 - called client; left msg (to go over options; we can't proceed unless she adds co-bwr. Bryan is okay with refunding appraisal fee (due to the miscommunication with us requesting tax return updates w/3rd job income but not being able to use it and the LO calling at same time saying she's denied --- but needs Earl's approval who is out of the office until Monday)     4/17/17- uvkc77- Called and spoke with client; advised of the two different methods of calculating the income and both results equaled the DTI being over the product guideline. We can move forward if she adds a co-bwr or if not we will go ahead and refund the appraisal fee. Client stated she would call me back on an answer.     4/18/17- 3:05pm - uvkc77- called client; left msg - i advised in msg that if she does wish to proceed with co-bwr to contact Bryan Sutton and he'd be able to assist nad advised her that i would be out of the office for the two days.    4/27/17- uvkc77- closed contact milestone; no additional calls needed   __________________________________________________________________  NOTES    Response from UW 4/14/17 -   "Hey Kara the LO,myself and processor spent several days attempting to see if we could make the numbers work. The customers debt is $1506.53.  In looking at what is mentioned below which we looked at which is $2,246.17 income from the school system and $939.57 which is using the 2016 W2 income and YTD is how the income calculator calculates $2,246.17 + $939.57=$3,185.74.  If you manually look at her debt  $1506.53/$3,185.74=comes to 47.28% which the DU system came back approve ineligible as we have to have the debt under 45%.       I used the more conservative approach in my final calculation which came to 51.73%, but I also looked at using the higher number which was $939.57 and the debt was still too high 47.28%.  I also gave her the most that I could with the school salary which I only had a letter to go off of but I still looked at the higher amount of $2,246.17.          I then came back to the LO to see if there was any other income and I got a handwritten 1099 which I could not use and the customer told the processor that this last income 1099 2016 was paid under the table.  Hope this helps.  Thanks   "57
04/13/2017-3438919Default / Negative Impacts || Complaint about ChexSystemsUnresolved - Complaint Escalation Needed || Complaint about ChecSystems  *********************************************************************  Resolved by letter,  unable to contact client for final decision, confirmed, bank is not waving fees, no bank error found, client owes bank, a need to contact Collections for payment options @ 1 866 390 6375.No Ackn needed  4/14 - emailed submitter for more information  4/21 - 2nd attempt, called Alvin Payne, mgr of 4436202 cc and submitter, client blames bank and Chex Systems for items that caused account to be closed, charged off with hard loss of 260.47 fees 857.70 and fee for ADMIN of $30.00 totaling $1148.17.  4/24 - 1:14 spoke to client on concerns of Chex Systems, actually the issue is with EWS, where client has been trying to a new account elsewhere, and due to charged off account is unable, client does not want to pay for fees but willing to pay hard loss even though he feels the bank promised him to close account timely to avoid the fees, confirmed account charged off 1/22/16, however activity on the account since 11/03/16 prove difficult to close when the account was not positive long enough to close,  branch manager was not aware of the instructions to monitor the account for closure. manager A Payne has went to Area Mgr on the fees, they feel no bank error occurred the client owes the fees. client is seeking legal counsel .  4/25 - 2:43 pm left vm, sent callback letter.57
04/14/2017-3440002Spoke with Mr. Brooks trying to find out how he will be able to make a withdrawal from his grandmothers IRA they need to money to help pay for medical expenses.  Says that his mother should have POAAdv cl that the account is listed as an account type that requires the IRA to be listed for an attorney infact to be able to make investment decisions.  gave the caller instruction for closing or transferring the ira.  Wanted to know if there would be a penalty adv that I would have to look at the account to determine.  ***Prior comments from originating case***:  **********************************************************  no folder in r drive4/25 - no ack required-resolved at poc  LY57
04/14/2017-3441055Default / Negative Impacts || opened account without permissionSubmitted Research / Task Form Request;Clarified Policy, Process, Product, Service || entered fraud app  ********************  Credit will be updated in 30-45 days.4/19 Per notes in FDR: 018 115 041717 C 0930 =CBK=PER NON GENERATED REPORT DID NOT ISSUE NEW CARD, PE  017 115 041717 C R NOTES CH DID NOT AUTH                   4/19 email to CCunderwriting              No Ack required. Resolved @ POC. QC    4/21 email from underwriting  4/21 sent email to banker for statement  4/21 Banker statement different from clients cliams    **ADMN FU: please make sure tradeline is removed for 04/16 has been removed**8
04/14/2017-34414621132 client called because her she wanted to get her credit cleared at agency.i adv her that we report payment history and their was no history of payment made to cover balance so we are reporting correctly. i expressed to her even though she state she didn't get her statement does not mean she  didnt use the service and she is responsible for the balance. uftw44  ***Prior comments from originating case***:  **********************************************************  no folder in r drive4/26 - no ack required-resolved at poc  LY8
04/14/2017-3441479client called regarding his ira he has been trying to get converted from a roth back to a traditional and has been working with allyson perry.reached out to allyson perry at 423-757-3770 to get an update.  Ms. Perry will have to call client  back aat 423-605-0516.  attached email communication.  ***Prior comments from originating case***:  **********************************************************  022417 per clients request IRA re-characterized, issue resolved at branch level, confirmed by AM042417 no acknowledgement requested by the client and resolved at POC, email sent to A Perry requesting the resolution, waiting reply  042417 reply, attached, issue resolved IRA re-characterized per clients request, task sent to GP for ce ovveride57
04/14/2017-3441517Fees, F/C, or other Monetary Impacts (Non-Bank Error);Default / Negative Impacts || Client is upset that her CD account automatically rolled over without her knowledge and said she was not informed in the beginning of the grace periodUnresolved - Complaint Escalation Needed || Informed client of the grace period policy; said the feedback form will be submitted on her behalf  *************************************************************************      Folder in R:drive case -3441517    Branch manager called client. Advised client of certificate of deposit interest rate terms and penalty process. Offered client redemption waiver. Client declined offer but appreciates call and handling of issue.4.18.17-  Ackn vcml left on 601-410-4480- SS    4.20.17-  Reviewed CD 17546898727- interest term- monthly  ------------ Reviewed CD 17546898772- interest term- at maturity  ------------ Each CD opened 4/1/2016  ------------ CD 17546898727 opened @ University Boulevard Office  ------------ CD 17546898772 opened @ University Boulevard Office   by Andria Diaz, PB   ------------ Sent email to PB and BM; should contact client and resolve @ POC regarding CD interest rate terms  ------------ OPT in for CRR review; sent task to MS-----------------------    4.21.17- Rec'd email from BM; left vcml for client  ----------- Sent response to BM; if the client does not return call by end of business to day, please call back on Monday.  ----------- Rec'd email from BM; Client returned call:I spoke with Angellee today.  Everything went very well.  I explained the grace period to her and she stated when her other CD comes due, she will understand the process.  She did want to redeem this CD, so I told her it would be no problem and I can waive the $3.71 penalty for her. Client was very appreciative that I called her and was  able to handle her concern.  ----------- Resolved-awaiting completed CE investigation, remember to complete folder ------------  4.25.17-  Rec'd email from CE investigator; additional info needed-reason for waiver and receipt of disclosures  4.26.17- Sent email to BM and PB for information needed to complete evaluation.  ----------- Sent task to MC for case extension------  ----------- Rec'd email responses from PB and Bm regarding-reason for penalty waiver and opening disclosures (emails attached to case)57
04/14/2017-3441624client called because he tried to refinance his car with lightstream and was declinedadvised client that lightstream is a subsidiary of suntrust and they handle our consumer to finance car loans//suntrust only does dealer financing car loans//advised client that we cannot override light stream decision and offered to connect him to lightstream to find out why the loan was denied//heard static on the phone and caller disconnected//attempted to call client back but n/a  ***Prior comments from originating case***:  **********************************************************  No folder in R Drive04/26/17 - No ack needed-Resolved @ POC  jr57
04/14/2017-3441626client escalated because of  titling on the account. client stated that her son was supposed to be add as pod. stated that she does not understand why it was not updated.explained to the client that we can document her concern about the account. advised that she would have to her son go with her to the branch to add him to it.  ***Prior comments from originating case***:  **********************************************************  042417 No folder created on the R drive042417 no acknowledgement requested by the client and resolved at POC, client educated that she must visit the branch to crate POD for account, feedback submitted57
04/14/2017-3441667client called to inquire why her debit card was a different color then the gold card she used to have//client stated when she was with Suntrust before she had a gold card and did not understand why the color is now different and wanted to know if that is the reason why the merchant required her to put in her pin # every timeCFSR VALIDATION RESULTS = VALID   4/14/17 utdv7 Reviewed call from 04/10/17 at 3:06pm cst. TM Jayson Red Communication challenges occurred throughout the call. Tm did correctly advise that the different color cards were due to different accounts/limits. There was a question about whether or not the card was a check card, and tm correctly advised that it was a check card. Tm issued a replacement card, but was not able to clarify for client why the new card was different than her old card.     advised client that the debit card did change and that is the card that goes with her account type//advised client that it should not affect her being able to use credit at the merchant vs debit//checked card in fdr and card is activated//went over the qualification of essential checking to avoid maint fee//also advised client of possible upgrade to select chking since her dd will be coming in during statement cycle of over 2k//advised client once her dd deposit come in she can call back and upgrade the account to select checking which will give her the upgraded card//also provided client with the spending and withdrawal limit for her debit card  ***Prior comments from originating case***:  **********************************************************  ******************************  No folder in R Drive04/21/17 - No ack needed-Resolved @ POC  jr57
04/14/2017-3441674Ms Armstrong called because she wanted to be taken off of business account without all owners together.I advised that per sos, form has to be signed and notarized by all owners to remove someone as a signer from an account.  ***Prior comments from originating case***:  **********************************************************  no folder in r drive4/26 - no ack required-resolved at poc  LY57
04/14/2017-3441791Branch/Department Interaction Challenges || Delilah Gamble called re Branch Interaction when she attempted to submit required paperwork for account opened on line.    Instead of completing paperwork for #1000229370522 Branch Teammate Opened new account.    Customer requested the Bank Close New Account and continue to open previously started account.Unresolved - Complaint Escalation Needed || Ms. Gamble requested contact by Supervision    *********    No Folder    (HB) WHL RESOLUTION 4/28/17  - Submitter confirmed the deposit has applied to account 1000229370522 but account is in a "No Debit Status" per documents are still required for account 0522. Client advised when she went into the branch, the teammate opened account 0522. Client advised she would rather operate her business out of the account she established on online. Per Channel Link, required documents still hasn't been received. Explained to the client documents are still required for her account & she will have to go into the branch to close 1 of the 2 accounts which she understood. Closed case.(CH) 4/18/17 Ack complete, left vm w/ case manager contact information.  (CH) 4/18/17 Per Channel Link: Client has 2 opened account.  1#1000229370522 was opened online 4/3/2017. Acct is No Debit Status until paperwork is received. $100 balance.   Notes Per Channel Lin:NAC Business Missing Document Call- left voicemail if client calls back please call 866-495-5418  2#1000201327169 was opened by branch in error.$0 balance.    4/28/17 - Listened to call w/ client & submitter on 4/14/17 at 6:18:58 PM. Client inquiring on if deposit posted to new business account 1000201327169 that was opened via online. Submitter confirmed the deposit has applied to account 1000229370522 but account is in a "No Debit Status" per documents are still required for account 0522. Client advised when she went into the branch, the teammate opened account 0522. Client advised she would rather operate her business out of the account she established on online.  - Per Channel Link, required documents still hasn't been received. Client will have to go visit the branch to close 1 of the 2 accounts.   - Unable to reach client, left vm to return call.  - Client returned call, explained to the client documents are still required for her account & she will have to go into the branch to close 1 of the 2 accounts which she understood.57
04/15/2017-3442858Fees, F/C, or other Monetary Impacts (Bank Error);Default / Negative Impacts || cl claims that she was not informed that her SAV acc will be converted to a CHKNG acc, was also calling with the maintenance feeRefunded or Waived Fees, F/C's, Monetary Impacts;Clarified Policy, Process, Product, Service;Provided Status and/or Next Steps || apologize to cl, edu cl about the requirement that needs to met for her not to be assessed for the fee, waived it as a bank error, transfer cl to sales for her to create a new sav acc.  **************************************  No folder in R drive4/21/17 No ack required, resolved @ POC.     Duplicate case 03/06/2017-3355360 for complaint about account conversion.57
04/16/2017-3443499Branch/Department Interaction Challenges || the client mentioned he never applied to credit card never authorized it force upon himClarified Policy, Process, Product, Service || I was able to place cc as fraud application and read disclosure to client that will be investigating this situation to see how this happen4/24/17 No ack required, resolved @ POC.     Review complaint call - UFMH221 Melanie Holland 4/16 9:56pm. Said they sent him a credit card that he didn't want, they keep sending him letters saying to activate it or close it, he is calling now to close it. TM asked if client applied or authorized the opening of the card. Client said when he opened his DDA with SunTrust  they kept insisting that he take it but he didn't want it, and they sent it anyway. Aggressive sales tactics. TM advised she closed the card and credit inquiry will be removed.     Credit card 5523931000251903 opened 8/23/16, Application ID : 20162171112080. Card is now closed status U. Application entered by UFMB266 Medhat Barsoum.   Email Medhat for feedback on credit card opening.  Receive response: This not what happened , client come to open account in my branch   I open to account and I tell him about credit card , and he accept that and even after that I put application in system  underwriter  ask for prove of residence from the client and I ask client for that and he provide it for me and send to the underwriter and card is approved ,     Caseworker did not ask for high school due to case was resolved at POC.    5/1/17 CIS note 4/28 1919 -RLF- REC REPORT OF FRAUD. STOPPED CREDIT REPORTING AND REQUESTED REMOVAL OF TRADELINE 84073628 AND INQUIRY FROM CBR. (UTMW87)                                                            Admin follow up: please ensure trade line is deleted and credit inquiry is removed card number 5523931000251903 date 8/23/16.8
04/17/2017-3443716Cl wants to know why he has interest charges on his account and he did not have the charge on the previous billExplained to the cl how the interest is charged.  Advised that he is charged interest on the unpaid balance. Cl stated he will go to the branch fro further explanation.  ***Prior comments from originating case***:  **********************************************************  No folder in R drive4/21/17 No ack required, resolved @ POC.57
04/17/2017-3443732Client would like to have his name removed from an account (-1811), client at this time is not near a branch.Empathized and educated client and adv.  If a name is being removed for any reason other than death, all owners of the account must authorize the removal. All signers must go into a Banking Center/In-Store with proper identification to complete the Request to Remove an Authorized Signer and a new signature card. Reached out to the branch and confirmed no exception can be made unless the acct is closed out.  ***Prior comments from originating case***:  **********************************************************    No folder on R:4/26- CE only, no ack or follow up required, resolved at POC.-HL57
04/17/2017-3443797client calling to see why his savings is now a checkingadvised client that his savings was turned into a checking due to excessive withdrawals, ordered new debit card for the client and expedited new card KBA# 26020865015367   LRR 7199240 transferred to sales for new savings  ***Prior comments from originating case***:  **********************************************************    No folder on R:4/27- CE only, no ack or follow up required, resolved at POC.-HL8
